# This file contains objective function values from parameter estimation. Extended metabolic model, parameter estimation upper bounds of 1e4 and constraints on all internal metabbolites with lower bound of 0 mM and upper bounds of 1e2, 1e3 and 1e4.
value,model,ph,vc
20.7455,extended_high_constraints_1e3,6.0,False
42.1123,extended_high_constraints_1e3,6.0,True
19.1241,extended_high_constraints_1e3,6.0,True
12802.6,extended_high_constraints_1e3,6.0,True
32.0196,extended_high_constraints_1e3,6.0,True
12815.8,extended_high_constraints_1e3,6.0,True
29.6506,extended_high_constraints_1e3,6.0,True
12805.1,extended_high_constraints_1e3,6.0,True
48.0343,extended_high_constraints_1e3,6.0,True
12800.8,extended_high_constraints_1e3,6.0,True
21.4019,extended_high_constraints_1e3,6.0,True
29.2014,extended_high_constraints_1e3,6.0,True
24.5677,extended_high_constraints_1e3,6.0,True
24.5151,extended_high_constraints_1e3,6.0,True
29.1791,extended_high_constraints_1e3,6.0,True
12808.9,extended_high_constraints_1e3,6.0,True
12799.4,extended_high_constraints_1e3,6.0,True
35.3991,extended_high_constraints_1e3,6.0,True
34.7796,extended_high_constraints_1e3,6.0,True
55.3106,extended_high_constraints_1e3,6.0,True
27.1101,extended_high_constraints_1e3,6.0,True
12818.0,extended_high_constraints_1e3,6.0,True
12800.7,extended_high_constraints_1e3,6.0,True
37.3714,extended_high_constraints_1e3,6.0,True
24.5712,extended_high_constraints_1e3,6.0,True
5893.33,extended_high_constraints_1e3,6.0,True
45.025,extended_high_constraints_1e3,6.0,True
33.3509,extended_high_constraints_1e3,6.0,True
20.2635,extended_high_constraints_1e3,6.0,True
5903.32,extended_high_constraints_1e3,6.0,True
24.5564,extended_high_constraints_1e3,6.0,True
107.86,extended_very_high_constraints_1e4,6.5,False
103.733,extended_very_high_constraints_1e4,6.5,False
9501.61,extended_very_high_constraints_1e4,6.5,False
17772.1,extended_very_high_constraints_1e4,6.5,False
inf,extended_very_high_constraints_1e4,6.5,False
103.347,extended_very_high_constraints_1e4,6.5,False
107.943,extended_very_high_constraints_1e4,6.5,False
1145.37,extended_very_high_constraints_1e4,6.5,False
101.555,extended_very_high_constraints_1e4,6.5,False
108.817,extended_very_high_constraints_1e4,6.5,False
